,username,Tribe,Leadership score,Neighourhood density
15005,,3,4.495103259892101e-05,0.6430107526881721
15303,,3,1.483602658971216e-07,0.5
15400,,3,2.0973591124409503e-05,0.7609195402298851
15556,,3,2.846826715161001e-06,0.7333333333333333
15762,,3,8.762983403886555e-06,0.6952380952380952
15850,,2,6.643080738503314e-05,0.6063492063492063
16211,,3,8.37704873970211e-06,0.8007246376811594
16826,,3,2.0314931261160562e-05,0.6679841897233202
16874,,3,2.028701581165709e-06,0.7619047619047619
11069,,1,4.669616856767541e-06,0.8514492753623188
10605,,2,2.8144140176098864e-05,0.6536585365853659
14460,,3,8.914970296896154e-06,0.7272727272727273
15131,,3,1.756583901740245e-05,0.780952380952381
15643,,3,9.696656583113486e-08,0.9523809523809523
14451,,3,4.417854532907753e-05,0.6078431372549019
14788,,3,3.4983972561773426e-05,0.6847826086956522
14489,,3,3.433732585480642e-05,0.5019762845849802
14375,,3,4.722166875774486e-07,0.7333333333333333
14832,,3,1.856530157272442e-05,0.5416666666666666
15195,,3,3.72169643027678e-05,0.68
15683,,3,4.757314586490035e-06,0.7575757575757576
16278,,3,4.3649895461662277e-07,0.7142857142857143
